much	negative:-4.9485655646877005	positive:-4.9126872770227985
ray	negative:-9.224670536284338	positive:-9.224670536284338
listing	negative:-9.224604815989887	positive:-10.323217104657997
blaring	negative:-9.630037062331072	positive:-10.323184242891017
drastically	negative:-9.224604815989887	positive:-10.323217104657997
HORRIBLE	negative:-9.630037062331072	positive:-10.323184242891017
Lame	negative:-8.936955604225226	positive:-10.323249965345116
looking.	negative:-9.630037062331072	positive:-10.323184242891017
Clichés	negative:-9.630037062331072	positive:-10.323184242891017
ACTING	negative:-9.630037062331072	positive:-10.323184242891017
rife	negative:-9.224604815989887	positive:-10.323217104657997
real-captain	negative:-10.323184242891017	positive:-9.630037062331072
math	negative:-10.323217104657997	positive:-9.224604815989887
federation	negative:-10.323184242891017	positive:-9.630037062331072
Tuvoks	negative:-10.323184242891017	positive:-9.630037062331072
'Janeway	negative:-10.323184242891017	positive:-9.630037062331072
Captains	negative:-10.323184242891017	positive:-9.630037062331072
captains	negative:-10.323184242891017	positive:-9.630037062331072
Conduit.	negative:-10.323184242891017	positive:-9.630037062331072
Warp	negative:-10.323184242891017	positive:-9.630037062331072
facilities	negative:-10.323184242891017	positive:-9.630037062331072
scribbles	negative:-10.323184242891017	positive:-9.630037062331072
Delta	negative:-10.323184242891017	positive:-9.630037062331072
Quadrant	negative:-10.323184242891017	positive:-9.630037062331072
notify	negative:-10.323184242891017	positive:-9.630037062331072
assimilates	negative:-10.323184242891017	positive:-9.630037062331072
cure.	negative:-10.323184242891017	positive:-9.630037062331072
commandeer	negative:-10.323184242891017	positive:-9.630037062331072
assimilated	negative:-10.323184242891017	positive:-9.630037062331072
Space.	negative:-10.323184242891017	positive:-9.630037062331072
agrees	negative:-9.224637676677007	positive:-9.630102784785171
Conduit	negative:-10.323184242891017	positive:-9.630037062331072
Vulcan	negative:-10.323184242891017	positive:-9.630037062331072
Philly	negative:-10.323184242891017	positive:-9.630037062331072
splattering	negative:-10.323184242891017	positive:-9.630037062331072
jerry	negative:-10.323184242891017	positive:-9.630037062331072
engrossed	negative:-10.323184242891017	positive:-9.630037062331072
outdone	negative:-10.323217104657997	positive:-9.224604815989887
Cortese	negative:-10.323184242891017	positive:-9.630037062331072
urbanized	negative:-10.323184242891017	positive:-9.630037062331072
deniro	negative:-10.323184242891017	positive:-9.630037062331072
Jersey	negative:-10.323217104657997	positive:-9.224604815989887
Pesci	negative:-10.323184242891017	positive:-9.630037062331072
manure	negative:-9.630037062331072	positive:-10.323184242891017
shameful	negative:-9.630037062331072	positive:-10.323184242891017
Bilcock	negative:-10.323184242891017	positive:-9.630037062331072
Rock.	negative:-10.323184242891017	positive:-9.630037062331072
whispers	negative:-10.323184242891017	positive:-9.630037062331072
swayed	negative:-10.323184242891017	positive:-9.630037062331072
accessory	negative:-10.323184242891017	positive:-9.630037062331072
convict	negative:-10.323184242891017	positive:-9.630037062331072
circumstantial	negative:-10.323184242891017	positive:-9.630037062331072
rugged	negative:-10.323184242891017	positive:-9.630037062331072
argument	negative:-10.323217104657997	positive:-9.224604815989887
abuzz	negative:-10.323184242891017	positive:-9.630037062331072
Aussies	negative:-10.323184242891017	positive:-9.630037062331072
prosecution	negative:-10.323184242891017	positive:-9.630037062331072
judgement	negative:-10.323184242891017	positive:-9.630037062331072
bent	negative:-10.323184242891017	positive:-9.630037062331072
began.	negative:-10.323184242891017	positive:-9.630037062331072
evidence.	negative:-10.323184242891017	positive:-9.630037062331072
moving.	negative:-10.323184242891017	positive:-9.630037062331072
score.	negative:-10.323184242891017	positive:-9.630037062331072
uproar	negative:-10.323184242891017	positive:-9.630037062331072
dingo	negative:-10.323184242891017	positive:-9.630037062331072
baying	negative:-10.323184242891017	positive:-9.630037062331072
occurred.	negative:-10.323184242891017	positive:-9.630037062331072
Azaria	negative:-10.323184242891017	positive:-9.630037062331072
befell	negative:-10.323184242891017	positive:-9.630037062331072
thirsty	negative:-10.323184242891017	positive:-9.630037062331072
No-one	negative:-9.224637676677007	positive:-9.630102784785171
transferred	negative:-9.630135644392501	positive:-8.936988463832558
sentenced	negative:-10.323184242891017	positive:-9.630037062331072
Editor	negative:-10.323217104657997	positive:-9.224604815989887
Caswell	negative:-10.323184242891017	positive:-9.630037062331072
acquitted.	negative:-10.323184242891017	positive:-9.630037062331072
conscientious	negative:-10.323184242891017	positive:-9.630037062331072
splendour	negative:-10.323184242891017	positive:-9.630037062331072
support.	negative:-10.323184242891017	positive:-9.630037062331072
Australians.	negative:-10.323184242891017	positive:-9.630037062331072
Smeaton	negative:-10.323184242891017	positive:-9.630037062331072
miscarriage	negative:-10.323184242891017	positive:-9.630037062331072
labour	negative:-10.323184242891017	positive:-9.630037062331072
stirs	negative:-10.323217104657997	positive:-9.224604815989887
rumour	negative:-9.630102784785171	positive:-9.224637676677007
Alongside	negative:-9.630069924098052	positive:-9.630069924098052
part.	negative:-9.630102784785171	positive:-9.224637676677007
Bryson	negative:-10.323184242891017	positive:-9.630037062331072
down.	negative:-10.323282824952447	positive:-8.713844912518347
Amid	negative:-10.323184242891017	positive:-9.630037062331072
timely	negative:-10.323217104657997	positive:-9.224604815989887
heartedly	negative:-10.323184242891017	positive:-9.630037062331072
justice.	negative:-10.323184242891017	positive:-9.630037062331072
Ayres	negative:-10.323184242891017	positive:-9.630037062331072
co-written	negative:-10.323184242891017	positive:-9.630037062331072
charges	negative:-9.224670536284338	positive:-9.224670536284338
Ayers	negative:-10.323184242891017	positive:-9.630037062331072
barbecue	negative:-9.630069924098052	positive:-9.630069924098052
pursuant	negative:-10.323184242891017	positive:-9.630037062331072
yawn-inducing	negative:-9.224604815989887	positive:-10.323217104657997
D-uh	negative:-9.630037062331072	positive:-10.323184242891017
rebuffed	negative:-9.630037062331072	positive:-10.323184242891017
compromises	negative:-9.630037062331072	positive:-10.323184242891017
piles	negative:-9.630037062331072	positive:-10.323184242891017
grains	negative:-9.630037062331072	positive:-10.323184242891017
dancer/choreographer	negative:-9.630037062331072	positive:-10.323184242891017
spurns	negative:-9.630037062331072	positive:-10.323184242891017
potboilers	negative:-9.630037062331072	positive:-10.323184242891017
incongruous	negative:-9.630037062331072	positive:-10.323184242891017
dogcrap	negative:-9.630037062331072	positive:-10.323184242891017
father.	negative:-9.630037062331072	positive:-10.323184242891017
IMO	negative:-9.224604815989887	positive:-10.323217104657997
simmering	negative:-9.630069924098052	positive:-9.630069924098052
Alas	negative:-9.224604815989887	positive:-10.323217104657997
Naach	negative:-9.630037062331072	positive:-10.323184242891017
Bachchan	negative:-9.630037062331072	positive:-10.323184242891017
beau	negative:-9.224604815989887	positive:-10.323217104657997
salvaged	negative:-9.630037062331072	positive:-10.323184242891017
'to	negative:-9.630069924098052	positive:-9.630069924098052
sufficient	negative:-9.224604815989887	positive:-10.323217104657997
lethally	negative:-9.630037062331072	positive:-10.323184242891017
Antara	negative:-9.630037062331072	positive:-10.323184242891017
howlariously	negative:-9.630037062331072	positive:-10.323184242891017
squirm	negative:-9.630037062331072	positive:-10.323184242891017
embarrassment.	negative:-9.630037062331072	positive:-10.323184242891017
bombing	negative:-9.224637676677007	positive:-9.630102784785171
razors	negative:-10.323184242891017	positive:-9.630037062331072
SOLD	negative:-10.323184242891017	positive:-9.630037062331072
soundtracks	negative:-10.323184242891017	positive:-9.630037062331072
plunger	negative:-10.323184242891017	positive:-9.630037062331072
peel	negative:-9.630037062331072	positive:-10.323184242891017
wits	negative:-9.630102784785171	positive:-9.224637676677007
Hood	negative:-9.630102784785171	positive:-9.224637676677007
get-go	negative:-9.630069924098052	positive:-9.630069924098052
McDaniel	negative:-9.630069924098052	positive:-9.630069924098052
Lucile	negative:-10.323217104657997	positive:-9.224604815989887
attentive	negative:-10.323184242891017	positive:-9.630037062331072
Parker	negative:-9.224670536284338	positive:-9.224670536284338
impeccable	negative:-10.323217104657997	positive:-9.224604815989887
Holiday	negative:-9.630069924098052	positive:-9.630069924098052
ranks	negative:-8.71387777104596	positive:-9.630168502920114
uncared-for	negative:-9.630037062331072	positive:-10.323184242891017
Cocco	negative:-9.630037062331072	positive:-10.323184242891017
COSTUMES	negative:-9.630037062331072	positive:-10.323184242891017
MILDLY	negative:-9.630037062331072	positive:-10.323184242891017
either.	negative:-8.936955604225226	positive:-10.323249965345116
Randall	negative:-9.630037062331072	positive:-10.323184242891017
critically	negative:-9.630037062331072	positive:-10.323184242891017
Shawshank	negative:-9.630069924098052	positive:-9.630069924098052
Lawnmower	negative:-9.630037062331072	positive:-10.323184242891017
Stacie	negative:-9.630037062331072	positive:-10.323184242891017
6.50	negative:-9.630037062331072	positive:-10.323184242891017
TWO	negative:-9.630037062331072	positive:-10.323184242891017
GHOULIES	negative:-9.630037062331072	positive:-10.323184242891017
raiding	negative:-9.630037062331072	positive:-10.323184242891017
unremastered	negative:-9.630037062331072	positive:-10.323184242891017
Liapis	negative:-9.630037062331072	positive:-10.323184242891017
'big	negative:-9.630037062331072	positive:-10.323184242891017
stumbled	negative:-9.22470339481195	positive:-8.937021322360168
discount	negative:-9.224637676677007	positive:-9.630102784785171
Redemption	negative:-9.630069924098052	positive:-9.630069924098052
dunno	negative:-9.630037062331072	positive:-10.323184242891017
disgraceful	negative:-9.630037062331072	positive:-10.323184242891017
Eads	negative:-9.630037062331072	positive:-10.323184242891017
academy	negative:-9.630102784785171	positive:-9.224637676677007
Harvest	negative:-9.630037062331072	positive:-10.323184242891017
Merry	negative:-9.630069924098052	positive:-9.630069924098052
Lamas	negative:-9.630037062331072	positive:-10.323184242891017
rips	negative:-8.936955604225226	positive:-10.323249965345116
Widow	negative:-9.630037062331072	positive:-10.323184242891017
though.	negative:-8.936955604225226	positive:-10.323249965345116
trope	negative:-9.630037062331072	positive:-10.323184242891017
Marshovia	negative:-9.630037062331072	positive:-10.323184242891017
Parisien	negative:-9.630037062331072	positive:-10.323184242891017
Trés	negative:-9.630037062331072	positive:-10.323184242891017
translation.	negative:-9.630037062331072	positive:-10.323184242891017
snippet	negative:-9.630037062331072	positive:-10.323184242891017
operettas	negative:-9.630037062331072	positive:-10.323184242891017
DC	negative:-9.630069924098052	positive:-9.630069924098052
Pontevedro	negative:-9.630037062331072	positive:-10.323184242891017
1906	negative:-9.630037062331072	positive:-10.323184242891017
Danilo	negative:-9.630069924098052	positive:-9.630069924098052
richest	negative:-9.630037062331072	positive:-10.323184242891017
Viennese	negative:-9.630037062331072	positive:-10.323184242891017
supplied	negative:-9.630037062331072	positive:-10.323184242891017
première	negative:-9.630037062331072	positive:-10.323184242891017
facsimile	negative:-9.630037062331072	positive:-10.323184242891017
Cleef	negative:-9.224604815989887	positive:-10.323217104657997
textures	negative:-9.630069924098052	positive:-9.630069924098052
uninterrupted	negative:-9.630037062331072	positive:-10.323184242891017
magnificence	negative:-9.630037062331072	positive:-10.323184242891017
Brenner	negative:-9.630037062331072	positive:-10.323184242891017
impart	negative:-9.630037062331072	positive:-10.323184242891017
Chris.	negative:-9.630037062331072	positive:-10.323184242891017
workmanlike	negative:-10.323184242891017	positive:-9.630037062331072
directs-and	negative:-10.323184242891017	positive:-9.630037062331072
significance	negative:-10.323217104657997	positive:-9.224604815989887
pun.	negative:-10.323184242891017	positive:-9.630037062331072
frustrate	negative:-10.323184242891017	positive:-9.630037062331072
ground-breaking	negative:-10.323184242891017	positive:-9.630037062331072
story-	negative:-10.323184242891017	positive:-9.630037062331072
sleeves	negative:-10.323184242891017	positive:-9.630037062331072
Tolkin	negative:-10.323184242891017	positive:-9.630037062331072
Roeg	negative:-10.323184242891017	positive:-9.630037062331072
pictorial	negative:-10.323184242891017	positive:-9.630037062331072
vanishes	negative:-10.323184242891017	positive:-9.630037062331072
Formality	negative:-10.323184242891017	positive:-9.630037062331072
mark.	negative:-9.630069924098052	positive:-9.630069924098052
miracles	negative:-10.323184242891017	positive:-9.630037062331072
point-an	negative:-10.323184242891017	positive:-9.630037062331072
dogma.	negative:-10.323184242891017	positive:-9.630037062331072
film-as	negative:-10.323184242891017	positive:-9.630037062331072
Sting	negative:-10.323184242891017	positive:-9.630037062331072
it-in	negative:-10.323184242891017	positive:-9.630037062331072
tepid	negative:-9.630069924098052	positive:-9.630069924098052
misdirects-you	negative:-10.323184242891017	positive:-9.630037062331072
it-especially	negative:-10.323184242891017	positive:-9.630037062331072
message-would	negative:-10.323184242891017	positive:-9.630037062331072
pout	negative:-10.323184242891017	positive:-9.630037062331072
McTeer	negative:-10.323184242891017	positive:-9.630037062331072
BBS	negative:-10.323184242891017	positive:-9.630037062331072
dredge	negative:-10.323184242891017	positive:-9.630037062331072
Chancer	negative:-10.323184242891017	positive:-9.630037062331072
Prue	negative:-10.323184242891017	positive:-9.630037062331072
phonetically	negative:-10.323184242891017	positive:-9.630037062331072
alias	negative:-9.630069924098052	positive:-9.630069924098052
safari	negative:-10.323217104657997	positive:-9.224604815989887
Holt	negative:-10.323217104657997	positive:-9.224604815989887
thieves	negative:-9.630168502920114	positive:-8.71387777104596
notch.	negative:-10.323184242891017	positive:-9.630037062331072
curl	negative:-10.323217104657997	positive:-9.224604815989887
bowl	negative:-9.630069924098052	positive:-9.630069924098052
Picking	negative:-10.323184242891017	positive:-9.630037062331072
gorilla	negative:-9.630069924098052	positive:-9.630069924098052
frontal	negative:-9.630069924098052	positive:-9.630069924098052
deal.	negative:-10.323184242891017	positive:-9.630037062331072
finance	negative:-10.323217104657997	positive:-9.224604815989887
PG	negative:-10.323184242891017	positive:-9.630037062331072
perfumes	negative:-10.323184242891017	positive:-9.630037062331072
swim	negative:-9.630069924098052	positive:-9.630069924098052
competing	negative:-9.630102784785171	positive:-9.224637676677007
collect	negative:-9.630069924098052	positive:-9.630069924098052
elephants	negative:-10.323184242891017	positive:-9.630037062331072
expedition	negative:-10.323217104657997	positive:-9.224604815989887
ivory	negative:-10.323217104657997	positive:-9.224604815989887
Niel	negative:-10.323184242891017	positive:-9.630037062331072
adventures.	negative:-10.323184242891017	positive:-9.630037062331072
deepens	negative:-10.323184242891017	positive:-9.630037062331072
drift	negative:-9.224637676677007	positive:-9.630102784785171
apes	negative:-10.323184242891017	positive:-9.630037062331072
Infamous	negative:-10.323184242891017	positive:-9.630037062331072
above.	negative:-9.630037062331072	positive:-10.323184242891017
payed	negative:-9.630037062331072	positive:-10.323184242891017
troublesome	negative:-9.630037062331072	positive:-10.323184242891017
recipe	negative:-9.224670536284338	positive:-9.224670536284338
Bem	negative:-9.630037062331072	positive:-10.323184242891017
Stiller	negative:-9.630037062331072	positive:-10.323184242891017
notoriety	negative:-9.630037062331072	positive:-10.323184242891017
Aniston	negative:-9.630069924098052	positive:-9.630069924098052
sail	negative:-9.630037062331072	positive:-10.323184242891017
cruise-liner	negative:-9.630037062331072	positive:-10.323184242891017
Carnival	negative:-9.630037062331072	positive:-10.323184242891017
ridiculousness	negative:-9.630037062331072	positive:-10.323184242891017
storm.	negative:-9.630037062331072	positive:-10.323184242891017
tips	negative:-9.630037062331072	positive:-10.323184242891017
Jill.	negative:-9.630037062331072	positive:-10.323184242891017
condo	negative:-9.630037062331072	positive:-10.323184242891017
dots.	negative:-9.630037062331072	positive:-10.323184242891017
freckles	negative:-9.630037062331072	positive:-10.323184242891017
Kapture	negative:-9.630037062331072	positive:-10.323184242891017
Zack	negative:-9.630037062331072	positive:-10.323184242891017
phones	negative:-8.936955604225226	positive:-10.323249965345116
cozy	negative:-9.224604815989887	positive:-10.323217104657997
out-standing	negative:-9.630037062331072	positive:-10.323184242891017
Dunne	negative:-9.630037062331072	positive:-10.323184242891017
over-whelmed	negative:-9.630037062331072	positive:-10.323184242891017
whines	negative:-9.630037062331072	positive:-10.323184242891017
daughter.	negative:-9.630037062331072	positive:-10.323184242891017
MacIsaac	negative:-9.630037062331072	positive:-10.323184242891017
slap	negative:-9.224604815989887	positive:-10.323217104657997
Mancuso	negative:-9.630069924098052	positive:-9.630069924098052
obnoxious.	negative:-9.630037062331072	positive:-10.323184242891017
confesses	negative:-9.630037062331072	positive:-10.323184242891017
two-timing	negative:-9.630037062331072	positive:-10.323184242891017
notified	negative:-9.630037062331072	positive:-10.323184242891017
tediously	negative:-9.630037062331072	positive:-10.323184242891017
cellar.	negative:-9.630037062331072	positive:-10.323184242891017
insufferable	negative:-9.630102784785171	positive:-9.224637676677007
bed.	negative:-9.630037062331072	positive:-10.323184242891017
advertised	negative:-9.630102784785171	positive:-9.224637676677007
grousing	negative:-9.630037062331072	positive:-10.323184242891017
smart-mouthed	negative:-9.630037062331072	positive:-10.323184242891017
Mitzi	negative:-9.630037062331072	positive:-10.323184242891017
Lisbon	negative:-10.323184242891017	positive:-9.630037062331072
Portugal	negative:-10.323184242891017	positive:-9.630037062331072
Abril	negative:-10.323184242891017	positive:-9.630037062331072
Maia	negative:-10.323184242891017	positive:-9.630037062331072
25th	negative:-10.323217104657997	positive:-9.224604815989887
smallest	negative:-10.323184242891017	positive:-9.630037062331072
Revolution.	negative:-10.323184242891017	positive:-9.630037062331072
Capitães	negative:-10.323184242891017	positive:-9.630037062331072
Salgueiro	negative:-10.323184242891017	positive:-9.630037062331072
outruns	negative:-9.630037062331072	positive:-10.323184242891017
Independancd	negative:-9.630037062331072	positive:-10.323184242891017
invincible	negative:-9.630037062331072	positive:-10.323184242891017
Nic	negative:-9.630037062331072	positive:-10.323184242891017
'ordinary	negative:-9.630037062331072	positive:-10.323184242891017
lowered	negative:-9.630037062331072	positive:-10.323184242891017
Declaration	negative:-9.630037062331072	positive:-10.323184242891017
entrusted	negative:-9.630037062331072	positive:-10.323184242891017
Knights	negative:-9.630037062331072	positive:-10.323184242891017
'Face-Off	negative:-9.630037062331072	positive:-10.323184242891017
Templar	negative:-9.630037062331072	positive:-10.323184242891017
guarded	negative:-9.224604815989887	positive:-10.323217104657997
'Charlotte	negative:-9.630037062331072	positive:-10.323184242891017
Independence	negative:-9.630037062331072	positive:-10.323184242891017
Cages	negative:-9.630037062331072	positive:-10.323184242891017
acupuncture	negative:-9.630037062331072	positive:-10.323184242891017
Wire	negative:-9.630037062331072	positive:-10.323184242891017
snowboarder	negative:-9.630037062331072	positive:-10.323184242891017
Traci	negative:-9.630037062331072	positive:-10.323184242891017
26	negative:-9.224670536284338	positive:-9.224670536284338
Pamela	negative:-9.630069924098052	positive:-9.630069924098052
Frostbite	negative:-9.630037062331072	positive:-10.323184242891017
83	negative:-9.224637676677007	positive:-9.630102784785171
Grimes	negative:-9.630037062331072	positive:-10.323184242891017
fart	negative:-8.936955604225226	positive:-10.323249965345116
r	negative:-9.630037062331072	positive:-10.323184242891017
Lords	negative:-9.630037062331072	positive:-10.323184242891017
Barb	negative:-9.630037062331072	positive:-10.323184242891017
cutouts	negative:-9.630037062331072	positive:-10.323184242891017
Roflcopter	negative:-9.630037062331072	positive:-10.323184242891017
Hi	negative:-10.323184242891017	positive:-9.630037062331072
under-rated	negative:-10.323217104657997	positive:-9.224604815989887
asshats	negative:-10.323184242891017	positive:-9.630037062331072
gravity	negative:-9.630102784785171	positive:-9.224637676677007
Jin	negative:-10.323184242891017	positive:-9.630037062331072
Hurley	negative:-10.323184242891017	positive:-9.630037062331072
forward/backs	negative:-10.323184242891017	positive:-9.630037062331072
Sawyer	negative:-10.323184242891017	positive:-9.630037062331072
lamer	negative:-9.224637676677007	positive:-9.630102784785171
Locke	negative:-10.323184242891017	positive:-9.630037062331072
Desmond	negative:-9.630102784785171	positive:-9.224637676677007
Sayid	negative:-10.323184242891017	positive:-9.630037062331072
Eko	negative:-10.323184242891017	positive:-9.630037062331072
layered	negative:-10.323184242891017	positive:-9.630037062331072
Wife	negative:-10.323184242891017	positive:-9.630037062331072
Faraday	negative:-10.323184242891017	positive:-9.630037062331072
co-worker	negative:-10.323184242891017	positive:-9.630037062331072
Alpert	negative:-10.323184242891017	positive:-9.630037062331072
Jarrah	negative:-10.323184242891017	positive:-9.630037062331072
Mysterio	negative:-10.323184242891017	positive:-9.630037062331072
Spiderman	negative:-9.630069924098052	positive:-9.630069924098052
webs	negative:-10.323184242891017	positive:-9.630037062331072
shields	negative:-10.323184242891017	positive:-9.630037062331072
comics.	negative:-10.323184242891017	positive:-9.630037062331072
Rhino	negative:-10.323184242891017	positive:-9.630037062331072
Spidey	negative:-10.323184242891017	positive:-9.630037062331072
superhero	negative:-9.224670536284338	positive:-9.224670536284338
evaluation	negative:-9.630069924098052	positive:-9.630069924098052
cameo.	negative:-10.323184242891017	positive:-9.630037062331072
gameplay	negative:-10.323184242891017	positive:-9.630037062331072
Venom	negative:-10.323184242891017	positive:-9.630037062331072
comment-heavy	negative:-9.630037062331072	positive:-10.323184242891017
goin	negative:-9.630037062331072	positive:-10.323184242891017
MOON	negative:-9.630037062331072	positive:-10.323184242891017
Macaulay	negative:-9.630037062331072	positive:-10.323184242891017
Culkin	negative:-9.630037062331072	positive:-10.323184242891017
Cronenberg	negative:-10.323217104657997	positive:-9.224604815989887
Sheffer	negative:-10.323217104657997	positive:-9.224604815989887
Bogus	negative:-10.323217104657997	positive:-9.224604815989887
DOWN	negative:-9.630069924098052	positive:-9.630069924098052
Travel	negative:-10.323184242891017	positive:-9.630037062331072
Keanu	negative:-10.323184242891017	positive:-9.630037062331072
Spiritual	negative:-10.323184242891017	positive:-9.630037062331072
everytime	negative:-9.630069924098052	positive:-9.630069924098052
utopian	negative:-10.323184242891017	positive:-9.630037062331072
predeccesor	negative:-10.323184242891017	positive:-9.630037062331072
Future	negative:-10.323184242891017	positive:-9.630037062331072
buds	negative:-10.323184242891017	positive:-9.630037062331072
FAGS	negative:-10.323184242891017	positive:-9.630037062331072
SELF	negative:-10.323184242891017	positive:-9.630037062331072
earth.	negative:-10.323184242891017	positive:-9.630037062331072
awsome	negative:-10.323184242891017	positive:-9.630037062331072
Journey.	negative:-10.323184242891017	positive:-9.630037062331072
cackling	negative:-9.630037062331072	positive:-10.323184242891017
portraits	negative:-9.630037062331072	positive:-10.323184242891017
re-write	negative:-9.630037062331072	positive:-10.323184242891017
Jarman	negative:-9.630037062331072	positive:-10.323184242891017
interpret	negative:-9.630037062331072	positive:-10.323184242891017
self-pity	negative:-9.630037062331072	positive:-10.323184242891017
Caliban	negative:-9.630037062331072	positive:-10.323184242891017
northerner	negative:-9.630037062331072	positive:-10.323184242891017
quiet.	negative:-9.630037062331072	positive:-10.323184242891017
Prospero	negative:-9.630037062331072	positive:-10.323184242891017
merging	negative:-10.323184242891017	positive:-9.630037062331072
pulsating	negative:-10.323184242891017	positive:-9.630037062331072
echoes	negative:-9.630102784785171	positive:-9.224637676677007
archetypes	negative:-10.323184242891017	positive:-9.630037062331072
freed	negative:-10.323184242891017	positive:-9.630037062331072
dreamworld	negative:-10.323184242891017	positive:-9.630037062331072
trembling	negative:-10.323184242891017	positive:-9.630037062331072
desolate	negative:-9.630069924098052	positive:-9.630069924098052
dreaming	negative:-9.630135644392501	positive:-8.936988463832558
mind-space	negative:-10.323184242891017	positive:-9.630037062331072
crucifixion	negative:-10.323184242891017	positive:-9.630037062331072
McGillis	negative:-9.630037062331072	positive:-10.323184242891017
praised	negative:-9.630037062331072	positive:-10.323184242891017
run-off-the-mill	negative:-9.630037062331072	positive:-10.323184242891017
defined	negative:-9.224637676677007	positive:-9.630102784785171
Station	negative:-9.224637676677007	positive:-9.630102784785171
predictability	negative:-8.936955604225226	positive:-10.323249965345116
allusions	negative:-9.630069924098052	positive:-9.630069924098052
subterranean	negative:-9.630037062331072	positive:-10.323184242891017
design.	negative:-9.630037062331072	positive:-10.323184242891017
Snipes	negative:-9.630037062331072	positive:-10.323184242891017
Phillippe	negative:-9.630069924098052	positive:-9.630069924098052
Philippe	negative:-9.630102784785171	positive:-9.224637676677007
Buddhist	negative:-9.630037062331072	positive:-10.323184242891017
injections	negative:-9.630069924098052	positive:-9.630069924098052
reprises	negative:-9.630037062331072	positive:-10.323184242891017
Dekker	negative:-9.630037062331072	positive:-10.323184242891017
flounders	negative:-9.630037062331072	positive:-10.323184242891017
nicotine	negative:-9.630037062331072	positive:-10.323184242891017
Demolition	negative:-9.630037062331072	positive:-10.323184242891017
Welsey	negative:-9.630037062331072	positive:-10.323184242891017
Statham	negative:-9.630037062331072	positive:-10.323184242891017
cop/bad	negative:-9.630037062331072	positive:-10.323184242891017
caffeine	negative:-9.630037062331072	positive:-10.323184242891017
Galloway	negative:-9.630037062331072	positive:-10.323184242891017
Heavyweights	negative:-9.630037062331072	positive:-10.323184242891017
black-hat	negative:-9.630037062331072	positive:-10.323184242891017
Obvious	negative:-9.224604815989887	positive:-10.323217104657997
potboiler	negative:-9.630037062331072	positive:-10.323184242891017
expounding	negative:-9.630037062331072	positive:-10.323184242891017
chew	negative:-8.936955604225226	positive:-10.323249965345116
tailored	negative:-9.630069924098052	positive:-9.630069924098052
Tribeca	negative:-10.323184242891017	positive:-9.630037062331072
Yelchin	negative:-10.323184242891017	positive:-9.630037062331072
Went	negative:-10.323217104657997	positive:-9.224604815989887
Diane	negative:-9.630069924098052	positive:-9.630069924098052
grown-up	negative:-10.323184242891017	positive:-9.630037062331072
statesman	negative:-10.323184242891017	positive:-9.630037062331072
98	negative:-10.323184242891017	positive:-9.630037062331072
comedienne	negative:-9.630135644392501	positive:-8.936988463832558
Halliwell	negative:-10.323184242891017	positive:-9.630037062331072
TRAIL	negative:-10.323184242891017	positive:-9.630037062331072
Hobbes	negative:-10.323184242891017	positive:-9.630037062331072
brows	negative:-10.323184242891017	positive:-9.630037062331072
top-billed	negative:-9.630069924098052	positive:-9.630069924098052
beetling	negative:-10.323184242891017	positive:-9.630037062331072
BACHELOR	negative:-10.323184242891017	positive:-9.630037062331072
demand	negative:-10.323184242891017	positive:-9.630037062331072
mogul	negative:-10.323184242891017	positive:-9.630037062331072
1931	negative:-10.323184242891017	positive:-9.630037062331072
uninhibited	negative:-10.323184242891017	positive:-9.630037062331072
criquet	negative:-10.323184242891017	positive:-9.630037062331072
queens	negative:-10.323217104657997	positive:-9.224604815989887
chatelaine	negative:-10.323184242891017	positive:-9.630037062331072
robust	negative:-10.323217104657997	positive:-9.224604815989887
Coast	negative:-10.323184242891017	positive:-9.630037062331072
Aubrey	negative:-10.323217104657997	positive:-9.224604815989887
1948.	negative:-10.323184242891017	positive:-9.630037062331072
duke	negative:-10.323184242891017	positive:-9.630037062331072
bungalow-dressing	negative:-10.323184242891017	positive:-9.630037062331072
residence	negative:-10.323184242891017	positive:-9.630037062331072
FATHER	negative:-10.323184242891017	positive:-9.630037062331072
illegitimate	negative:-10.323184242891017	positive:-9.630037062331072
baronet	negative:-10.323184242891017	positive:-9.630037062331072
Doris	negative:-9.630069924098052	positive:-9.630069924098052
acknowledged	negative:-10.323217104657997	positive:-9.224604815989887
Bros	negative:-9.630102784785171	positive:-9.224637676677007
mistress	negative:-10.323249965345116	positive:-8.936955604225226
unmarried	negative:-10.323217104657997	positive:-9.224604815989887
Hearst	negative:-9.630102784785171	positive:-9.224637676677007
garage	negative:-9.630037062331072	positive:-10.323184242891017
injured	negative:-9.224670536284338	positive:-9.224670536284338
aggravatingly	negative:-9.630037062331072	positive:-10.323184242891017
slitting	negative:-9.630037062331072	positive:-10.323184242891017
injuries	negative:-8.936988463832558	positive:-9.630135644392501
shoots/grazes	negative:-9.630037062331072	positive:-10.323184242891017
fiercely	negative:-9.630037062331072	positive:-10.323184242891017
entitle	negative:-9.630037062331072	positive:-10.323184242891017
Alert	negative:-9.630037062331072	positive:-10.323184242891017
zealous	negative:-9.630037062331072	positive:-10.323184242891017
iron	negative:-9.630069924098052	positive:-9.630069924098052
fingers	negative:-9.224637676677007	positive:-9.630102784785171
kneeling	negative:-9.630037062331072	positive:-10.323184242891017
Milquetoast	negative:-9.630037062331072	positive:-10.323184242891017
milquetoast	negative:-9.630037062331072	positive:-10.323184242891017
Shortly	negative:-9.630069924098052	positive:-9.630069924098052
